id,user_id,stress_prediction_id,weekly_summary_id,period_type,insight_text,created_at,insight_text_original,insight_template_code
1,1,1.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan aktivitas fisik rendah. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-02 00:01:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Low Physical Activity.,DAILY_SEDANG_LOW_MOOD_LOW_PHYSICAL_ACTIVITY
2,1,2.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan kondisi kesehatan. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-02 20:46:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Health Issue.,DAILY_SEDANG_ACADEMIC_PRESSURE_HEALTH_ISSUE
3,1,3.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan durasi screen time tinggi. Perlu diperhatikan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-03 20:52:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time.,DAILY_SEDANG_HIGH_SCREEN_TIME
4,1,4.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan durasi screen time tinggi. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-05 00:59:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,DAILY_SEDANG_LOW_MOOD_HIGH_SCREEN_TIME
5,1,5.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-05 23:12:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,DAILY_SEDANG_ACADEMIC_PRESSURE
6,1,6.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan rutinitas yang relatif stabil. Perlu diperhatikan pemeliharaan pola aktivitas harian yang konsisten agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-07 00:13:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,DAILY_SEDANG_STABLE_ROUTINE
7,1,7.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-07 20:07:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood.,DAILY_SEDANG_LOW_MOOD
8,1,8.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan rutinitas yang relatif stabil. Perlu diperhatikan pemeliharaan pola aktivitas harian yang konsisten agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-08 22:42:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,DAILY_SEDANG_STABLE_ROUTINE
9,1,9.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan durasi screen time tinggi. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-10 00:14:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Screen Time.,DAILY_SEDANG_ACADEMIC_PRESSURE_HIGH_SCREEN_TIME
10,1,10.0,,daily,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas agar tekanan harian tidak berkembang menjadi lebih berat.,2026-01-10 19:49:00,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,DAILY_SEDANG_ACADEMIC_PRESSURE
